theme,tweets
AdvocateForGreenEnergy,Let's see how many myths about the Clean Energy Corridor we can bust in 60 seconds.
AdvocateForGreenEnergy,"Clean energy advocates say ""green stimulus"" could boost jobs in wake of Covid declines. "
ClimateActionDonation,We’ve got a climate emergency on our hands. Ohio’s electric auto industry is primed to do its part to put this fire out.
ClimateActionDonation,"For too long, Colorado’s public lands have been managed to benefit corporate polluters, putting the health of Coloradans at risk. Tell your leaders to put people first and fix the broken oil and gas program."
AntiWoke,"Since the day he was sworn in, President Biden has undermined our border security, creating a humanitarian crisis at our Southern border. 100 days ago, my colleagues and I called upon the Democrats on the Oversight Committee to hold hearings on this crisis to take the first steps required to find a solution.

Since then, there have been over 700,000 illegal border crossings and a record number of illegal drugs seized. This is an emergency that must be dealt with immediately, even if that is not politically convenient for the Democrats in power."
AntiWoke,"By preserving four zero-carbon Illinois nuclear plants, proposed energy legislation ensures that the state stays on track to meet its climate goals at the lowest cost to consumers."
DemocratOutreach,"""[The legislation] also contains various equity provisions to ensure that low-income communities and communities of color are included in the new green economy."". "
DemocratOutreach,"🚨 Sign this petition to tell Nancy Pelosi and Rita Hart for Iowa  to stop their attempt to steal #IA02!

This attempt to overturn a certified election is desperate and should be called out for what it is - a partisan power grab."
StopOilPollution,"The Biden Administration is moving ahead with the largest offshore lease sale in U.S. history, despite campaign promises toward bold and meaningful action on climate and environmental justice.

Lease Sale 257 will offer more than 80 million acres of the Gulf of Mexico to Big Oil, more area than the Trump Administration initially proposed. Moreover, federal officials have unlawfully relied on outdated and irrational environmental analysis in deciding to hold the sale."
GreenEnergySavesMoney,"The plan for a government-takeover of Maine’s power grid would cost $13.5 billion. That’s more than $17,000 in debt for average customer. What do you think of the plan? Take our poll: https://bit.ly/34w9wFZ. "
AdvocateForGreenEnergyPoliticalAction,"The future of our air, our public health and our state depends on nuclear energy. Join us to support Maryland’s largest source of carbon-free energy."
OilCreatesJobs,Ask Senator Connick to vote NO on SB 233! Make a stand for the people of oil & gas and LA’s future!
GreenEnergyWorks,"Our community here has grown a bit, so we would like to reintroduce ourselves and learn more about you!

We are the Standing Rock (""SAGE"") Renewable Energy Power Authority, and we act as a Public Power Authority (PPA) that will control and operate all the energy production assets within Standing Rock. SAGE institutionalizes SRST's involvement in renewable energy projects, building sustainable resources in balance with Natural Law and recognizing the interconnectedness of all living things.

We are glad you are here. Do you have any questions for us? Leave them in the comments below:. "
GreenPowerExpensive,Dominion has overcharged Virginia customers by over $1 billion and now it has the audacity to demand a profit increase—an increase that could raise your energy bills. Dominion Energy faces NO competition; it should charge a fair price. Regulators are taking a hard look right now at what Dominion charges for electricity and they need to hear from you. Dominion has made enough money off of us.
NuclearAdvocacy,"Premature nuclear plant closures could impact Illinois in a BIG way. 

Read this report to discover what’s at stake if Illinois doesn’t take swift action to preserve its nuclear power plants. https://info.nuclearpowersillinois.com/brattle-report. "
AntiTax,Did you know the New York Times actively creates ads for fossil fuel companies? Sign the petition to tell them they need to stop!
TackleClimateChange,"There are real, dangerous health impacts of climate change like increasing asthma, lung disease & preterm births."
LegislatorsMustActAgainstClimateChange,"Gas appliances in our buildings are unsafe, harm our health, and contribute to the climate crisis. We're calling on Governor Newsom and the California Energy Commission to protect our communities with pollution-free homes and businesses statewide!"
